Date,Open,High,Low,Close,Adj Close,Volume
2007-05-21,14.308300,14.444600,14.281100,14.444600,9.239538,18070765
2007-05-22,14.335600,14.335600,14.090300,14.253800,9.117491,30808361
2007-05-23,14.308300,14.471900,14.308300,14.444600,9.239538,34422514
2007-05-24,14.226600,14.444600,14.226600,14.335600,9.169815,11238732
2007-05-25,14.199300,14.226600,13.981300,14.008500,8.960585,38330203
2007-05-28,14.008500,14.090300,13.790500,13.817800,8.838602,35534279
2007-05-29,13.817800,13.872300,13.572500,13.654200,8.733955,87585421
2007-05-30,13.654200,13.654200,13.436200,13.518000,8.646835,75211075
2007-05-31,13.545200,13.763300,13.545200,13.654200,8.733955,80004873
2007-06-01,13.736000,13.790500,13.408900,13.572500,8.681697,130336999
2007-06-04,13.627000,13.708700,13.408900,13.408900,8.577050,61741475
2007-06-05,13.463500,13.627000,13.463500,13.572500,8.681697,59374847
2007-06-06,13.681500,13.817800,13.681500,13.708700,8.768817,51014596
2007-06-07,13.708700,13.763300,13.545200,13.572500,8.681697,77685944
2007-06-08,13.463500,13.572500,13.299900,13.354400,8.542188,71980353
2007-06-11,13.408900,13.436200,13.054700,13.136400,8.402745,94443139
2007-06-12,13.136400,13.190900,13.054700,13.081900,8.367883,97380327
2007-06-13,13.190900,13.572500,13.136400,13.545200,8.664234,54936961
2007-06-14,13.681500,14.117500,13.654200,14.035800,8.978047,147134555
2007-06-15,14.172100,14.253800,14.008500,14.172100,9.065232,147292330
2007-06-20,14.308300,14.635400,14.281100,14.608100,9.344122,240924578
2007-06-21,14.608100,14.717100,14.417300,14.553600,9.309261,140419936
2007-06-22,14.226600,14.553600,13.981300,14.008500,8.960585,88240372
2007-06-25,14.008500,14.090300,13.817800,14.008500,8.960585,107316495
2007-06-26,14.008500,14.226600,13.981300,14.035800,8.978047,100356040
2007-06-27,14.035800,14.063100,13.954000,14.008500,8.960585,33589608
2007-06-28,13.954000,14.063100,13.954000,13.954000,8.925724,27579473
2007-06-29,14.090300,14.090300,13.708700,13.954000,8.925724,60787486
2007-07-02,14.444600,14.499100,14.253800,14.253800,9.117491,69677935
2007-07-03,14.417300,14.689900,14.253800,14.689900,9.396447,92115038
2007-07-04,14.771700,14.798900,14.390100,14.553600,9.309261,46593221
2007-07-05,14.689900,14.689900,14.199300,14.390100,9.204677,78203300
2007-07-06,14.444600,14.444600,14.199300,14.281100,9.134955,27484074
2007-07-09,14.499100,14.717100,14.417300,14.635400,9.361584,82336644
2007-07-10,14.662600,14.689900,14.526400,14.635400,9.361584,115529979
2007-07-11,14.689900,14.689900,14.390100,14.608100,9.344122,106268941
2007-07-12,14.880700,15.425700,14.880700,15.371200,9.832239,185598683
2007-07-13,15.480300,15.507500,15.180500,15.289500,9.779981,81023073
2007-07-16,15.289500,15.425700,15.125900,15.207700,9.727657,92483791
2007-07-17,15.207700,15.262200,14.989700,15.153200,9.692799,74528606
2007-07-18,15.044200,15.534800,15.016900,15.344000,9.814844,123231611
2007-07-19,15.207700,15.507500,14.962400,15.398500,9.849705,85903097
2007-07-20,15.262200,15.371200,14.962400,15.262200,9.762519,61479128
2007-07-23,15.207700,15.371200,15.071400,15.371200,9.832239,38221962
2007-07-24,15.371200,15.425700,15.235000,15.425700,9.867102,41645317
2007-07-25,15.235000,15.344000,15.071400,15.316700,9.797379,40586755
2007-07-26,15.153200,15.289500,14.826200,14.880700,9.518491,44582504
2007-07-27,14.608100,14.608100,14.144800,14.281100,9.134955,116946287
2007-07-30,14.008500,14.281100,14.008500,14.172100,9.065232,69819199
2007-07-31,14.308300,14.335600,14.090300,14.172100,9.065232,54127904
2007-08-01,13.981300,14.008500,13.272700,13.354400,8.542188,109138249
2007-08-02,13.627000,13.763300,13.463500,13.599700,8.699096,87917483
2007-08-03,13.817800,13.872300,13.599700,13.681500,8.751419,51851171
2007-08-06,13.408900,13.436200,13.245400,13.436200,8.594512,57830118
2007-08-07,13.490700,13.599700,13.408900,13.408900,8.577050,43151520
2007-08-08,13.572500,13.899500,13.490700,13.899500,8.890863,38128397
2007-08-09,14.063100,14.063100,13.763300,13.954000,8.925724,23202129
2007-08-10,13.299900,13.436200,13.000100,13.027400,8.333021,149967171
2007-08-13,13.136400,13.245400,12.754900,12.945600,8.280697,68520305
2007-08-14,13.027400,13.054700,12.891100,12.918400,8.263298,41570098
2007-08-15,12.809400,12.809400,12.100800,12.100800,7.740317,91804991
2007-08-16,11.855500,12.019000,11.637400,11.801000,7.548550,130456248
2007-08-17,11.991700,12.237000,11.555700,11.855500,7.583412,108477794
2007-08-20,12.536800,12.673100,12.264300,12.673100,8.106393,48534223
2007-08-21,12.836600,12.836600,12.564100,12.727600,8.141254,46987659
2007-08-22,12.700300,12.918400,12.564100,12.673100,8.106393,33119952
2007-08-23,13.054700,13.054700,12.727600,12.945600,8.280697,64596106
2007-08-24,13.027400,13.027400,12.564100,12.564100,8.036670,36956091
2007-08-27,12.809400,12.809400,12.536800,12.591300,8.054068,20809816
2007-08-28,12.618600,12.700300,12.536800,12.591300,8.054068,12255098
2007-08-29,12.291500,12.346100,12.128000,12.264300,7.844901,37554169
2007-08-30,12.700300,12.700300,12.564100,12.673100,8.106393,50227554
2007-08-31,12.836600,13.518000,12.727600,13.518000,8.646835,71451989
2007-09-03,13.627000,13.627000,12.945600,12.945600,8.280697,32591588
2007-09-04,13.027400,13.163700,12.891100,12.972900,8.298159,22704953
2007-09-05,13.081900,13.109200,12.809400,12.945600,8.280697,17188325
2007-09-06,12.891100,13.136400,12.754900,13.109200,8.385345,35543452
2007-09-07,13.163700,13.163700,12.972900,13.081900,8.367883,36517622
2007-09-10,13.054700,13.081900,12.754900,13.000100,8.315558,45332854
2007-09-11,12.918400,13.000100,12.863900,12.972900,8.298159,22917766
2007-09-12,13.081900,13.163700,12.972900,12.972900,8.298159,24002012
2007-09-13,13.136400,13.163700,12.972900,13.109200,8.385345,24884453
2007-09-14,13.218200,13.381700,13.190900,13.381700,8.559649,42254402
2007-09-17,13.299900,13.327200,12.918400,13.136400,8.402745,52977613
2007-09-18,13.136400,13.136400,13.136400,13.136400,8.402745,0
2007-09-19,13.354400,13.463500,12.863900,12.972900,8.298159,130869032
2007-09-20,12.836600,13.081900,12.645800,12.700300,8.123791,94879773
2007-09-21,12.700300,12.754900,12.318800,12.373300,7.914625,89684199
2007-09-26,12.373300,12.400500,12.182500,12.373300,7.914625,99488277
2007-09-27,12.427800,13.027400,12.400500,12.972900,8.298159,80100272
2007-09-28,12.972900,13.299900,12.863900,13.054700,8.350485,56213839
2007-10-01,13.081900,13.190900,12.918400,12.972900,8.298159,30639579
2007-10-02,13.081900,13.463500,13.081900,13.408900,8.577050,78355572
2007-10-03,13.436200,13.708700,13.327200,13.463500,8.611975,95646634
2007-10-04,13.463500,13.599700,13.109200,13.218200,8.455066,50554112
2007-10-05,13.436200,13.736000,13.436200,13.708700,8.768817,122861023
2007-10-08,13.763300,13.817800,13.599700,13.763300,8.803741,48642464
2007-10-09,13.763300,13.845000,13.627000,13.708700,8.768817,70925460
2007-10-11,13.790500,13.845000,13.545200,13.708700,8.768817,65029070
2007-10-12,13.817800,13.817800,13.136400,13.136400,8.402745,52339174
2007-10-15,13.381700,13.408900,13.163700,13.408900,8.577050,34004227
2007-10-16,13.327200,13.681500,13.245400,13.545200,8.664234,44633873
